id,external_id,name,nombre_oficial,parent_iso,parent_state,compound_key,poblacion_wiki_2021,area_wiki_km2,densidad_wiki,poblacion_ine_2010,poblacion_ine_2020,poblacion_ine_2026,poblacion_ine_2050,poblacion_est_2026,area_est_km2,idh_est,pib_total_est_mm_usd,pib_pc_est_usd
92452058B92725802185650,ve_apure_san_fernando,San Fernando,Municipio San Fernando,VE-C,Apure,apure__san fernando,218583,5982,36.54,185991,231595,258512,337379,223442,25742.95,0.665,737.36,3300
92452058B46833609539382,ve_portuguesa_san_genaro_de_boconoito,San Genaro de Boconoito,Municipio San Genaro de Boconoito,VE-P,Portuguesa,portuguesa__san genaro de boconoito,29480,1031,28.59,23591,27486,29702,35714,,,,,
92452058B34439964520942,ve_guarico_san_geronimo_de_guayabal,San Gerónimo de Guayabal,Municipio San Gerónimo de Guayabal,VE-J,Guárico,guarico__san geronimo de guayabal,25263,4357,5.79,20210,24476,26924,32240,,,,,
92452058B39139174954008,ve_anzoategui_san_jose_de_guanipa,San José de Guanipa,Municipio San José de Guanipa,VE-B,Anzoátegui,anzoategui__san jose de guanipa,98940,792,124.92,77695,83092,85341,81920,26666,1198.47,0.629,69.01,2588
92452058B33294183212252,ve_guarico_san_jose_de_guaribe,San José de Guaribe,Municipio San José de Guaribe,VE-J,Guárico,guarico__san jose de guaribe,14294,1128,12.67,11895,14321,15699,18535,,,,,
92452058B1316533147896,ve_anzoategui_san_juan_de_capistrano,San Juan de Capistrano,Municipio San Juan de Capistrano,VE-B,Anzoátegui,anzoategui__san juan de capistrano,12886,123,104.76,9214,10904,11900,14568,36742,859.79,0.674,128.52,3498
92452058B86499403972529,ve_tachira_san_judas_tadeo,San Judas Tadeo,Municipio San Judas Tadeo,VE-S,Táchira,tachira__san judas tadeo,9914,253,39.18,7531,8000,8251,9381,,,,,
92452058B93532552722104,ve_trujillo_san_rafael_de_carvajal,San Rafael de Carvajal,Municipio San Rafael de Carvajal,VE-T,Trujillo,trujillo__san rafael de carvajal,65882,77,855.61,60329,72854,79926,97443,,,,,
92452058B4017095457162,ve_portuguesa_san_rafael_de_onoto,San Rafael de Onoto,Municipio San Rafael de Onoto,VE-P,Portuguesa,portuguesa__san rafael de onoto,23684,187,126.65,18840,21773,23417,27642,,,,,
92452058B52538048181152,ve_aragua_san_sebastian,San Sebastián,Municipio San Sebastián,VE-D,Aragua,aragua__san sebastian,31567,491,64.29,24111,26576,27731,30898,27242,177.61,0.635,73.25,2689
92452058B10612874136761,ve_anzoategui_santa_ana,Santa Ana,Municipio Santa Ana,VE-B,Anzoátegui,anzoategui__santa ana,12659,1184,10.69,9644,11518,12639,15814,19357,995.29,0.67,66.07,3413
92452058B64727210967891,ve_monagas_santa_barbara,Santa Bárbara,Municipio Santa Bárbara,VE-N,Monagas,monagas__santa barbara,13116,588,22.3,9388,10860,11561,13800,,,,,
92452058B50688374743402,ve_guarico_santa_maria_de_ipire,Santa María de Ipire,Municipio Santa María de Ipire,VE-J,Guárico,guarico__santa maria de ipire,15957,4549,3.47,13238,16171,17881,21856,,,,,
92452058B66316473888275,ve_zulia_santa_rita,Santa Rita,Municipio Santa Rita,VE-V,Zulia,zulia__santa rita,78107,578,135.13,59867,67108,70594,78154,37580,1345.33,0.744,209.73,5581
92452058B3851867727254,ve_portuguesa_santa_rosalia,Santa Rosalía,Municipio Santa Rosalía,VE-P,Portuguesa,portuguesa__santa rosalia,22669,1029,22.03,17721,20612,22254,26671,,,,,
92452058B98840878188065,ve_aragua_santiago_marino,Santiago Mariño,Municipio Santiago Mariño,VE-D,Aragua,aragua__santiago marino,266945,497,537.11,223088,245849,256519,285707,16430,171.33,0.67,55.91,3403
92452058B16352791962773,ve_merida_santos_marquina,Santos Marquina,Municipio Santos Marquina,VE-L,Mérida,merida__santos marquina,21638,192,112.69,19406,23625,26045,31782,9294,244.32,0.677,33.26,3579
92452058B40538109508806,ve_aragua_santos_michelena,Santos Michelena,Municipio Santos Michelena,VE-D,Aragua,aragua__santos michelena,45436,220,206.52,40343,43445,44707,47110,13723,197.99,0.642,38.79,2827
92452058B21195677528356,ve_tachira_seboruco,Seboruco,Municipio Seboruco,VE-S,Táchira,tachira__seboruco,13348,162,82.39,10233,11084,11564,13773,,,,,
92452058B7239791888120,ve_bolivar_sifontes,Sifontes,Municipio Sifontes,VE-F,Bolívar,bolivar__sifontes,57943,24393,2.37,57120,66406,71471,80517,30811,11150.81,0.676,108.89,3534
92452058B11105078455090,ve_falcon_silva,Silva,Municipio Silva,VE-I,Falcón,falcon__silva,39546,537,73.64,37984,44440,48050,56446,,,,,
92452058B90039962099382,ve_lara_simon_planas,Simón Planas,Municipio Simón Planas,VE-K,Lara,lara__simon planas,48535,808,60.06,,,,,94915,1235.83,0.681,348.05,3667
92452058B50271348468988,ve_anzoategui_sir_arthur_mac_gregor,Sir Arthur Mac Gregor,Municipio Sir Arthur Mac Gregor,VE-B,Anzoátegui,anzoategui__sir arthur mac gregor,,,,9824,11973,13300,17468,29939,1441.22,0.666,99.55,3325
92452058B73243248124437,ve_barinas_sosa,Sosa,Municipio Sosa,VE-E,Barinas,barinas__sosa,29822,3546,8.41,23304,27799,30271,36629,,,,,
92452058B70146576395550,ve_monagas_sotillo,Sotillo,Municipio Sotillo,VE-N,Monagas,monagas__sotillo,31189,1061,29.39,23861,26791,28012,31114,,,,,
92452058B53950788580310,ve_cojedes_tinaco,Tinaco,Municipio Tinaco,VE-H,Cojedes,cojedes__tinaco,43336,1098,39.46,31747,38172,42049,58919,,,,,
92452058B57428725290546,ve_falcon_tocopero,Tocopero,Municipio Tocopero,VE-I,Falcón,falcon__tocopero,8109,83,97.69,5499,6354,6818,7778,,,,,
92452058B65560769402967,ve_tachira_torbes,Torbes,Municipio Torbes,VE-S,Táchira,tachira__torbes,58322,110,530.2,50427,54669,57060,68055,,,,,
92452058B22596665360768,ve_lara_torres,Torres,Municipio Torres,VE-K,Lara,lara__torres,211806,6954,30.45,,,,,44792,1122.52,0.629,115.83,2586
92452058B29326197328098,ve_trujillo_trujillo,Trujillo,Municipio Trujillo,VE-T,Trujillo,trujillo__trujillo,70426,413,170.52,59097,71362,78288,95437,318676,370,0.649,946.79,2971
92452058B80404447780707,ve_delta_amacuro_tucupita,Tucupita,Municipio Tucupita,VE-Y,Delta Amacuro,delta amacuro__tucupita,149845,10996,13.62,101794,128332,146806,275072,,,,,
92452058B99464633299903,ve_portuguesa_turen,Turén,Municipio Turén,VE-P,Portuguesa,portuguesa__turen,76409,1324,57.71,66380,75898,81075,92881,,,,,
92452058B21405103946028,ve_anzoategui_diego_bautista_urbanejo,Diego Bautista Urbanejo,Municipio Turístico Diego Bautista Urbaneja,VE-B,Anzoátegui,anzoategui__diego bautista urbanejo,43907,12,3658.91,39260,47778,53020,69324,,,,,
92452058B14300572902451,ve_falcon_union,Unión,Municipio Unión,VE-I,Falcón,falcon__union,19638,975,20.14,15698,18639,20334,24757,,,,,
92452058B63771518802825,ve_yaracuy_urachiche,Urachiche,Municipio Urachiche,VE-U,Yaracuy,yaracuy__urachiche,26674,170,156.9,22276,26755,29335,36123,,,,,
92452058B26508954861758,ve_monagas_uracoa,Uracoa,Municipio Uracoa,VE-N,Monagas,monagas__uracoa,12269,2764,4.43,9273,10551,11115,12740,,,,,
92452058B24105899820975,ve_tachira_uribante,Uribante,Municipio Uribante,VE-S,Táchira,tachira__uribante,24888,1502,16.56,20098,21630,22479,26365,,,,,
92452058B99499694826809,ve_falcon_urumaco,Urumaco,Municipio Urumaco,VE-I,Falcón,falcon__urumaco,10580,752,14.06,8332,9517,10143,11257,,,,,
92452058B13672560993609,ve_sucre_valdez,Valdez,Municipio Valdez,VE-R,Sucre,sucre__valdez,50862,598,85.05,42251,49449,53647,67220,,,,,
92452058B422414995593,ve_carabobo_valencia,Valencia,Municipio Valencia,VE-G,Carabobo,carabobo__valencia,980277,623,1573.47,852217,943844,984252,1081782,927988,1714.49,0.817,8441.91,9097
92452058B50396237528900,ve_trujillo_valera,Valera,Municipio Valera,VE-T,Trujillo,trujillo__valera,176961,240,737.33,151067,171854,181910,192259,,,,,
92452058B93255664897858,ve_zulia_valmore_rodriguez,Valmore Rodríguez,Municipio Valmore Rodríguez,VE-V,Zulia,zulia__valmore rodriguez,65840,1292,50.95,52014,59828,63919,75297,399064,20529.31,0.772,2684.5,6727
92452058B48463153943022,ve_miranda_vargas,Vargas,Municipio Vargas,VE-M,Miranda,miranda__vargas,,,,,,,,,,,,
92452058B35881959392947,ve_yaracuy_veroes,Veroes,Municipio Veroes,VE-U,Yaracuy,yaracuy__veroes,35365,1059,33.39,28163,32683,35103,39792,,,,,
92452058B87556418523140,ve_nueva_esparta_villalba,Villalba,Municipio Villalba,VE-O,Nueva Esparta,nueva esparta__villalba,11894,55,216.25,,,,,,,,,
92452058B83118913216781,ve_guarico_zaraza,Zaraza,Municipio Zaraza,VE-J,Guárico,guarico__zaraza,75808,2410,31.45,63800,77190,84859,101366,,,,,
92452058B34699715340940,ve_merida_zea,Zea,Municipio Zea,VE-L,Mérida,merida__zea,14092,122,115.5,11388,13572,14773,17124,7229,168.92,0.68,26.39,3650
92452058B66612082158993,ve_falcon_acosta,Acosta,Municipio Acosta,VE-I,Falcón,falcon__acosta,23323,757,30.8,19076,22791,24955,30828,,,,,
92452058B59962143626105,ve_monagas_acosta,Acosta,Municipio Acosta,VE-N,Monagas,monagas__acosta,22335,609,36.67,17518,19904,20960,23959,,,,,
92452058B60175540924522,ve_tachira_andres_bello,Andrés Bello,Municipio Andrés Bello,VE-S,Táchira,tachira__andres bello,24160,98,246.53,20434,21913,22724,26422,,,,,
92452058B19626943802375,ve_merida_andres_bello,Andrés Bello,Municipio Andrés Bello,VE-L,Mérida,merida__andres bello,17294,398,43.45,14456,17111,18550,21166,23071,394.28,0.673,80.33,3482
92452058B96669771674103,ve_trujillo_andres_bello,Andrés Bello,Municipio Andrés Bello,VE-T,Trujillo,trujillo__andres bello,21800,202,107.92,16970,20398,22316,26922,,,,,
92452058B69461621653352,ve_miranda_andres_bello,Andrés Bello,Municipio Andrés Bello,VE-M,Miranda,miranda__andres bello,24526,114,215.14,21322,23688,24690,25564,131245,447.17,0.78,927.9,7070
92452058B83235361555221,ve_barinas_andres_eloy_blanco,Andrés Eloy Blanco,Municipio Andrés Eloy Blanco,VE-E,Barinas,barinas__andres eloy blanco,19920,1493,13.34,15175,18037,19599,23509,,,,,
92452058B18977618770055,ve_sucre_andres_eloy_blanco,Andrés Eloy Blanco,Municipio Andrés Eloy Blanco,VE-R,Sucre,sucre__andres eloy blanco,30981,721,42.96,27539,31766,34164,41345,,,,,
92452058B34095123389968,ve_lara_andres_eloy_blanco,Andrés Eloy Blanco,Municipio Andrés Eloy Blanco,VE-K,Lara,lara__andres eloy blanco,56076,708,79.2,,,,,342979,2662.22,0.685,1287.89,3755
92452058B15677212765732,ve_sucre_arismendi,Arismendi,Municipio Arismendi,VE-R,Sucre,sucre__arismendi,54735,769,71.17,48949,56756,61229,75022,,,,,
