id,external_id,name,nombre_oficial,parent_iso,parent_state,poblacion_2010,poblacion_2020,poblacion_2026,poblacion_2050,poblacion_2021,area_km2,densidad,capital,idh,pib_total_mm_usd,pib_per_capita_usd
92452058B74978111878407,ve_monagas_piar,Piar,Municipio Piar,VE-N,Monagas,45140,51147,53769,61030,58886,1074,54.82,Aragua,,,
92452058B47549156675396,ve_bolivar_piar,Piar,Municipio Piar,VE-F,Bolívar,112638,132081,142894,164348,123242,15900,7.75,Upata,0.71,378.26,4435
92452058B36429563491132,ve_falcon_piritu,Píritu,Municipio Píritu,VE-I,Falcón,10638,12396,13370,15563,13152,1168,11.26,Píritu,,,
92452058B35367180068237,ve_anzoategui_piritu,Píritu,Municipio Píritu,VE-B,Anzoátegui,25013,29143,31510,37152,30146,225,133.98,Píritu,0.657,105.98,3121
92452058B21426676418020,ve_cojedes_romulo_gallegos,Rómulo Gallegos,Municipio Rómulo Gallegos,VE-H,Cojedes,18009,20172,21295,25197,26270,725,36.23,Las Vegas,,,
92452058B89555253536357,ve_apure_romulo_gallegos,Rómulo Gallegos,Municipio Rómulo Gallegos,VE-C,Apure,27632,34345,38298,49818,31763,12219,2.59,Elorza,0.556,57.74,1591
92452058B3899539267655,ve_falcon_san_francisco,San Francisco,Municipio San Francisco,VE-I,Falcón,11060,13012,14117,16817,13587,346,39.26,Mirimire,,,
92452058B36126847225490,ve_zulia_san_francisco,San Francisco,Municipio San Francisco,VE-V,Zulia,446474,526504,570940,713815,541009,185,2924.37,San Francisco,0.772,226.17,6727
92452058B7204279738521,ve_miranda_simon_bolivar,Simón Bolívar,Municipio Simón Bolívar,VE-M,Miranda,45279,50165,52203,53701,60664,131,463.08,San Francisco de Yare,0.779,365.16,7045
92452058B72837046286909,ve_zulia_simon_bolivar,Simón Bolívar,Municipio Simón Bolívar,VE-V,Zulia,42906,50229,54232,66636,60070,219,274.29,Tía Juana,0.736,179,5279
92452058B340100748175,ve_anzoategui_simon_bolivar,Simón Bolívar,Municipio Simón Bolívar,VE-B,Anzoátegui,444928,506016,539200,599328,516904,1706,302.99,Barcelona,0.725,5035.63,4918
92452058B83373837217774,ve_tachira_simon_rodriguez,Simón Rodríguez,Municipio Simón Rodríguez,VE-S,Táchira,2503,2671,2761,3174,2950,69,42.75,San Simón,,,
92452058B74376664002472,ve_anzoategui_simon_rodriguez,Simón Rodríguez,Municipio Simón Rodríguez,VE-B,Anzoátegui,194077,222450,238158,269842,216175,703,307.5,El Tigre,0.686,65.92,3793
92452058B18295884568936,ve_falcon_sucre,Sucre,Municipio Sucre,VE-I,Falcón,5857,6729,7196,8096,7799,840,9.28,La Cruz de Taratara,,,
92452058B59537518099621,ve_tachira_sucre,Sucre,Municipio Sucre,VE-S,Táchira,7425,7954,8243,9564,9680,407,23.78,Queniquea,,,
92452058B63445948802308,ve_bolivar_sucre,Sucre,Municipio Sucre,VE-F,Bolívar,22127,25725,27687,31193,26677,46166,0.57,Maripa,0.629,1437.84,2595
92452058B73017007286704,ve_yaracuy_sucre,Sucre,Municipio Sucre,VE-U,Yaracuy,20198,24570,27144,34456,23238,133,174.72,Guama,,,
92452058B78508752034039,ve_aragua_sucre,Sucre,Municipio Sucre,VE-D,Aragua,125136,137494,143207,158371,138437,76,1821.53,Cagua,0.703,65.43,4231
92452058B15586506098632,ve_merida_sucre,Sucre,Municipio Sucre,VE-L,Mérida,58660,71271,78479,95293,69240,946,73.19,Lagunillas,0.722,25.17,4811
92452058B14540922264670,ve_portuguesa_sucre,Sucre,Municipio Sucre,VE-P,Portuguesa,41912,48922,52914,63742,47196,400,117.99,Biscucuy,,,
92452058B12777305429441,ve_miranda_sucre,Sucre,Municipio Sucre,VE-M,Miranda,642959,718203,751029,787784,682718,164,4162.91,Petare,0.759,307.51,6150
92452058B70878488170331,ve_trujillo_sucre,Sucre,Municipio Sucre,VE-T,Trujillo,31775,38427,42193,51638,38595,214,180.35,Sabana de Mendoza,,,
92452058B50415523485502,ve_sucre_sucre,Sucre,Municipio Sucre,VE-R,Sucre,383228,451448,491476,622479,451794,1570,287.76,Cumaná,0.65,1029.08,2974
92452058B74873434476019,ve_aragua_tovar,Tovar,Municipio Tovar,VE-D,Aragua,14516,16404,17375,20551,16385,225,72.82,La Colonia Tovar,0.691,69.84,3917
92452058B76146617843422,ve_merida_tovar,Tovar,Municipio Tovar,VE-L,Mérida,39514,46051,49459,54364,45438,184,246.94,Tovar,0.677,20.83,3578
92452058B98233245594574,ve_aragua_urdaneta,Urdaneta,Municipio Urdaneta,VE-D,Aragua,21469,23956,25182,28895,34074,2024,16.83,Barbacoas,0.645,56.31,2874
92452058B66787265555701,ve_trujillo_urdaneta,Urdaneta,Municipio Urdaneta,VE-T,Trujillo,35464,42658,46690,56415,39738,497,79.95,La Quebrada,,,
92452058B69956206553200,ve_lara_urdaneta,Urdaneta,Municipio Urdaneta,VE-K,Lara,,,,,69956,4256,16.43,Siquisique,0.679,1384.04,3616
92452058B23947748286776,ve_miranda_urdaneta,Urdaneta,Municipio Urdaneta,VE-M,Miranda,155709,174534,182890,193454,176326,273,645.88,Cúa,0.762,163.14,6296
92452058B44429853731382,ve_falcon_zamora,Zamora,Municipio Zamora,VE-I,Falcón,34227,40362,43853,52512,38897,619,62.83,Puerto Cumarebo,,,
92452058B49597531088827,ve_miranda_zamora,Zamora,Municipio Zamora,VE-M,Miranda,203278,227666,238450,251738,216276,378,572.15,Guatire,0.777,6873.79,6950
92452058B58412499983511,ve_aragua_zamora,Zamora,Municipio Zamora,VE-D,Aragua,148300,163139,170037,188577,173014,649,266.58,Villa de Cura,0.666,1296.69,3307
92452058B76868797395121,ve_anzoategui_fernando_de_penalver,Fernando de Peñalver,Municipio Fernando de Peñalver,VE-B,Anzoátegui,36792,44720,49592,64658,40729,643,63.34,Puerto Píritu,0.665,76.4,3303
